_PARTY_NAME,_COUNTRY_NAME,_PARTY_NAME_ENGLISH,_PARTY_NAME_SHORT,_POPULIST_bool,_POPULST_BL_bool,_FARRIGHT_bool,_FARRIGHT_BL_bool,_FARLEFT_bool,_FARLEFT_BL_bool,_EUROSCEPTIC_bool,_EUROSCEPTIC_BL_bool
Bündnis Zukunft Österreich,Austria,Alliance for the Future of Austria,BZÖ,1,0,1,0,0,0,1,0
Freiheitliche Partei Österreichs,Austria,Freedom Party of Austria,FPÖ,1,0,1,0,0,0,1,0
Liste Dr. Hans-Peter Martin,Austria,Hans-Peter Martin's List,Martin,1,0,0,0,0,0,1,0
Team Stronach,Austria,Team Stronach,TS,1,0,0,0,0,0,1,0
Front National,Belgium,National Front,FN,1,0,1,0,0,0,1,0
"Lijst Dedecker | Libertair, Direct, Democratisch",Belgium,"Libertarian, Direct, Democratic",LDD,1,0,0,0,0,0,0,1
Parti populaire,Belgium,People's Party,Pp,1,0,1,0,0,0,1,0
Partij van de Arbeid – Parti du Travail de Belgique,Belgium,Workers' Party of Belgium,PVDA/PTB,0,0,0,0,1,0,1,0
Vlaams Blok,Belgium,Flemish Interest,VB,1,0,1,0,0,0,1,0
Ataka,Bulgaria,Attack,Ataka,1,0,1,0,0,0,1,0
Balgarija bes Zensura,Bulgaria,Reload Bulgaria / Bulgaria Without Censorship,BBZ/BBT,1,0,0,0,0,0,1,0
Balgarski Biznes Blok,Bulgaria,Bulgarian Business Bloc,BBB,1,0,0,0,0,0,0,0
Grazhdani za Evropeysko Razvitie na Balgariya,Bulgaria,Citizens for European Development of Bulgaria,GERB,1,0,0,0,0,0,0,0
Natsionalen Front za Spasenie na Balgariya,Bulgaria,National Front for the Salvation of Bulgaria,NFSB,1,0,1,0,0,0,1,0
Natsionalno Dvizhenie Simeon Vtori,Bulgaria,National Movement Simeon II,NDSV,1,0,0,0,0,0,0,0
"Red, zakonnost i spravedlivost",Bulgaria,"Order, Law and Justice",RZS,1,0,1,0,0,0,0,0
VMRO – Balgarsko Natsionalno Dvizhenie,Bulgaria,IMRO - National Bulgarian Movement,IMRO,1,0,1,0,0,0,1,0
Volya,Bulgaria,Will,Volya,1,0,1,0,0,0,1,0
Hrvatska gradanska stranka,Croatia,Croatian Civic Party,HGS,1,0,0,0,0,0,0,0
Hrvatska stranka prava,Croatia,Croatian Party of Rights,HSP,0,0,1,0,0,0,1,0
Hrvatska stranka prava dr. Ante Starcevic,Croatia,Croatian Party of Rights -- Dr. Ante Starcevic,HSP-AS,0,0,1,0,0,0,1,0
Hrvatski demokratski savez Slavonije i Baranje,Croatia,Croatian Democratic Alliance of Slavonia and Baranja,HDSSB,1,0,1,0,0,0,0,0
Hrvatski laburisti – Stranka rada,Croatia,Croatian Labourists - Labour Party,HL-SR/CL-LP,1,0,0,0,1,0,0,0
Hrvatski rast,Croatia,Croatian Growth,Hrast,0,0,1,0,0,0,1,0
Most nezavisnih lista,Croatia,Bridge of Independent Lists,MOST,1,0,0,0,0,0,0,0
Živi zid,Croatia,Human Shield,Zivi Zid,1,0,0,0,0,0,1,0
Anorthotikó Kómma Ergazómenou Laoú,Cyprus,Progressive Party of Working People,AKEL,0,0,0,0,1,0,1,0
Ethniko Laiko Metopo,Cyprus,National Popular Front,ELAM,0,0,1,0,0,0,1,1
Symmaxia,Cyprus,Citizens' Alliance,SYM / SYPOL,1,0,0,0,1,0,0,0
Akce nespokojených obcanu,Czech Republic,Action of Dissatisfied Citizens,ANO,1,1,0,0,0,0,0,0
Komunistická strana Cech a Moravy,Czech Republic,Communist Party of Bohemia and Moravia,KSCM,0,0,0,0,1,0,1,0
Komunistická strana Ceskoslovenska,Czech Republic,Communist Party of Czechoslovakia,KSC,0,0,0,0,1,0,1,0
Sdruzení pro republiku – Republikánská strana Ceskoslovenska,Czech Republic,Coalition for Republic â€“ Republican Party of Czechoslovakia,SPR-RSC,1,0,1,0,0,0,1,0
Strana svobodných obcanu,Czech Republic,Party of Free Citizens,SSO,0,0,0,0,0,0,1,0
Suverenita – blok Jany Bobošíkové,Czech Republic,Sovereignty -- Jana Bobosikova Bloc,S-JB,1,0,1,1,0,0,1,0
Svoboda a prímá demokracie Tomio Okamura,Czech Republic,Freedom and Direct Democracy â€“ Tomio Okamura,SPD,1,0,1,0,0,0,1,0
Úsvit prímé demokracie,Czech Republic,Dawn-National Coalition,Dawn,1,0,1,1,0,0,1,0
Veci verejné,Czech Republic,Public Affairs,VV,1,0,0,0,0,0,0,0
Dansk Folkeparti,Denmark,Danish People's Party,DF,1,0,1,0,0,0,1,0
Enhedslisten – De Rød-Grønne,Denmark,Red-Green Alliance,En-O,0,0,0,0,1,0,1,0
Fremskridtspartiet,Denmark,Progress Party,FrP,1,0,1,0,0,0,1,0
Nye Borgerlige,Denmark,The New Right,NB,1,1,1,0,0,0,1,0
Socialistisk Folkeparti,Denmark,Socialist People's Party,SF,0,0,0,0,1,1,0,0
Tjóðveldi,Denmark,Republic (Faroe Islands),T,0,0,0,0,1,0,0,0
Eesti Kodanik,Estonia,Estonian Citizens,EKo,1,0,1,0,0,0,0,0
Eesti Konservatiivne Rahvaerakond,Estonia,Estonian Conservative People's Party,EKRE,1,0,1,0,0,0,1,0
Erakond Res Publica,Estonia,Res Publica,ERP,0,1,0,0,0,0,0,0
Sõltumatud Kuningriiklased,Estonia,Independent Royalists,SK,1,0,0,0,0,0,0,0
Demokraattinen Liitto | Vasemmistoliitto,Finland,Left Alliance,VAS,0,0,0,0,1,0,1,0
Sininen tulevaisuus,Finland,Blue Reform,SIN,1,0,0,0,0,0,1,0
Suomen Maaseudun Puolue | Perussuomalaiset,Finland,Finns Party,Ps,1,0,1,0,0,0,1,0
Debout la république | Debout la France,France,Republic Arise | France Arise,DLR|DLF,1,0,1,0,0,0,1,0
Front national,France,National Front / Rally,FN / RN,1,0,1,0,0,0,1,0
La France Insoumise,France,France Unbowed,FI,1,0,0,0,1,0,1,0
Mouvement pour la France,France,Movement for France,MF,0,0,0,1,0,0,1,0
Parti communiste français,France,French Communist Party / Left Front,PCF/FdG,0,0,0,0,1,0,1,0
Rassemblement pour la France,France,Rally for France,RPF,0,0,1,1,0,0,1,0
Alternative für Deutschland,Germany,Alternative for Germany,AfD,1,0,1,0,0,0,1,0
PDS | Die Linke,Germany,The Left (Germany),Linke,1,0,0,0,1,0,1,0
Anexartitoi Ellines,Greece,Independent Greeks,ANEL,1,0,0,0,0,0,1,0
Dimokratiko Koinoniko Kinima,Greece,Democratic Social Movement,DIKKI,1,0,0,0,1,0,1,0
Elliniki Lisi,Greece,Greek Solution,EL,1,0,1,0,0,0,1,0
European Realistic Disobedience Front [MeRa25],Greece,European Realistic Disobedience Front [MeRa25],MR25,1,0,0,0,1,0,1,0
Kommounistikó Kómma Elládas,Greece,Comnunist Party of Greece,KKE,0,0,0,0,1,0,1,0
Laïkós Orthódoxos Synagermós,Greece,Popular Orthodox Rally,LAOS,1,0,1,0,0,0,1,0
Laikos Syndesmos – Chrysi Avg,Greece,Golden Dawn,Golden Dawn,0,0,1,0,0,0,1,0
Oikol<U+03CC>goi Enallaktiko<U+03AF>,Greece,Alternative Ecologists,OE,0,0,0,0,1,1,0,0
Politiki Anixi,Greece,Political Spring,POLAN,1,1,1,0,0,0,0,0
Synaspismós Rizospastikís Aristerás,Greece,Syriza - The Coalition of the Radical Left,SYRIZA,1,0,0,0,1,0,1,0
Synaspismós tis Aristerás,Greece,Synaspismos - The Coalition of the Left,SYN,1,0,0,0,1,0,1,0
Fidesz – Magyar Polgári Szövetség,Hungary,Fidesz - Hungarian Civic Alliance,FIDESZ,1,0,1,0,0,0,1,0
Fidesz – Magyar Polgári Szövetség / Kereszténydemokrata Néppárt,Hungary,Fidesz -- Hungarian Civic Party / Christian Democratic People's Party,Fi+KDNP,1,0,1,0,0,0,1,0
Jobbik Magyarországért Mozgalom,Hungary,"Jobbik, the Movement for a Better Hungary",Jobbik,1,0,1,0,0,0,1,0
Kereszténydemokrata Néppárt,Hungary,Christian Democratic People's Party,KDNP,0,0,1,0,0,0,1,0
Magyar Igazság és Élet Pártja,Hungary,Hungarian Justice and Life Party,MIÉP,1,0,1,0,0,0,1,0
Magyar Munkáspárt,Hungary,Hungarian Workers' Party,MMP,0,0,0,0,1,0,1,0
Mi Hazánk Mozgalom,Hungary,Our Homeland Movement,MH,1,0,1,0,0,0,1,0
Alþýðubandalagið,Iceland,People's Alliance,Ab,0,0,0,0,1,0,0,0
Borgarahreyfingin – Hreyfingin,Iceland,Civic Movement -- The Movement,B-H,1,0,0,0,0,0,0,0
Flokkur fólksins,Iceland,People's Party,FIF,1,1,0,0,0,0,1,0
Framsóknarflokkurinn,Iceland,Progressive Party,F,0,0,0,0,0,0,1,0
Frjálslyndi flokkurinn,Iceland,Liberal Party,Ff,0,0,0,0,0,0,1,0
Miðflokkurinn,Iceland,Centre Party,M,1,1,0,0,0,0,1,0
Sjálfstæðisflokkurinn,Iceland,Independence Party,Sj,0,0,0,0,0,0,1,0
Democratic Left,Ireland,Democratic Left,DLP,0,0,0,0,1,0,0,0
People Before Profit Alliance,Ireland,People Before Profit Alliance,PBPA,0,0,0,0,1,0,1,0
Sinn Féin,Ireland,Sinn FÃ©in,SF,1,0,0,0,1,0,1,0
Sinn Féin The Workers' Party,Ireland,Sinn Fein The Workers' Party,SFWP,0,0,0,0,1,0,1,0
Socialist Party,Ireland,Socialist Party (Ireland),SP,0,0,0,0,1,0,1,0
Fiamma Tricolore,Italy,Tricolor Flame Social Movement,MSFT,0,0,1,0,0,0,1,0
Forza Italia – Il Popolo della Libertà,Italy,The People of Freedom / Forza Italia (FI),FI/PdL,1,0,0,0,0,0,0,1
Fratelli d'Italia – Centrodestra Nazionale,Italy,Brothers of Italy,FdI,1,0,1,0,0,0,1,0
Il Popolo della Libertà,Italy,The People of Freedom / Forza Italia (FI),PdL,1,0,0,0,0,0,0,1
Lega (Nord),Italy,(Northern) League,LN,1,0,1,0,0,0,1,0
Lega d'Azione Meridionale,Italy,Southern Action League,LAM,1,0,1,0,0,0,1,0
Liga Veneta,Italy,Venetian League,LV,1,0,0,1,0,0,0,0
Movimento 5 Stelle,Italy,Five Star Movement,M5S,1,0,0,0,0,0,1,0
Movimento Sociale Italiano,Italy,Italian Social Movement,MSI,0,0,1,0,0,0,0,0
Partito dei Comunisti Italiani,Italy,Party of the Italian Communists,PdCI,0,0,0,0,1,0,1,0
Partito della Rifondazione Comunista,Italy,Communist Refoundation Party,PRC,0,0,0,0,1,0,1,0
Rivoluzione Civile,Italy,Civil Revolution,RC,0,0,0,0,1,0,1,0
Sinistra,Italy,Left Ecology Freedom / Left,SEL / L,0,0,0,0,1,0,0,0
Jaunais Laiks,Latvia,New Era,JL,0,1,0,0,0,0,0,0
Kam pieder valsts?,Latvia,Who owns the state?,KPV LV,1,1,0,0,0,0,1,0
Latvijas Komunistiska partija,Latvia,Communist Party of Latvia,LKP,0,0,0,0,1,0,1,0
Latvijas Socialistiska partija,Latvia,Socialist Party of Latvia,LSP,0,0,0,0,1,0,1,0
Latvijas Vienibas Partija,Latvia,Latvian Unity Party,LVP,0,0,0,0,1,0,0,0
Reformu partija,Latvia,Reform Party,ZRP,1,0,0,0,0,0,0,0
Tevzemei un Brivibai,Latvia,For Fatherland and Freedom,TB,0,0,1,0,0,0,0,0
Darbo Partija,Lithuania,Labour Party,DP,1,0,0,0,0,0,0,0
Drasos Kelias,Lithuania,The Way of Courage,DK,1,0,0,0,0,0,0,0
Jaunoji Lietuva,Lithuania,Young Lithuania,JL,1,0,1,0,0,0,1,0
Lietuviu tautininku sajunga,Lithuania,Lithuanian National Union List,LTS,0,0,1,0,0,0,1,0
Lietuvos Centro Partija,Lithuania,Lithuanian Centre Party,LCP,1,0,0,0,0,0,1,0
Lietuvos komunistu partija,Lithuania,Communist Party of Lithuania,LKP,0,0,0,0,1,0,0,0
Lietuvos komunistu partija TSKP platformoje,Lithuania,Lithuanian Communist Party on the CPSU Platform,TSKP,0,0,0,0,1,0,0,0
Lietuvos laisves sajunga,Lithuania,Lithuanian Liberty Union,LLaS,1,0,0,0,1,0,1,0
Socialist People's Front,Lithuania,Socialist People's Front,SPF / Fronto,0,0,0,0,1,0,1,0
Tautos prisikelimo partija,Lithuania,National Resurrection Party,TPP,1,0,0,0,0,0,0,0
Tvarka ir teisingumas – Liberalu Demokratu Partija,Lithuania,Order and Justice,TT,1,0,0,0,0,0,1,0
Aktionskomitee Rente – Comité d’action pensions | Alternativ Demokratesch Reformpartei – Parti réformiste d'alternative démocratique,Luxembourg,Alternative Democratic Reform Party,ADR,1,1,0,1,0,0,1,0
Déi Lénk – La Gauche – Die Linke,Luxembourg,The Left (Luxembourg),Dei Lenk,0,0,0,0,1,0,1,0
Kommunistesch Partei Lëtzebuerg – Parti Communiste Luxembourgeois – Kommunistische Partei Luxemburg,Luxembourg,Communist Party of Luxembourg,KPL,0,0,0,0,1,0,1,0
National Bewegung,Luxembourg,National Movement,NB,0,0,1,0,0,0,1,0
50PLUS,Netherlands,50PLUS,50PLUS,0,0,0,0,0,0,1,0
Centrum Democraten,Netherlands,Centre Democrats,CD,1,0,1,0,0,0,1,0
Forum voor Democratie,Netherlands,Forum for Democracy,FvD,1,0,1,0,0,0,1,0
Gereformeerd Politiek Verbond,Netherlands,Reformed Political League,GPV,0,0,0,0,0,0,1,0
Leefbaar Nederland,Netherlands,Livable Netherlands,LN,1,0,0,0,0,0,0,0
Lijst Pim Fortuyn,Netherlands,Fortuyn List,LPF,1,0,0,1,0,0,1,0
Partij voor de Dieren,Netherlands,Party for the Animals,PvdD,0,0,0,0,0,0,1,0
Partij voor de Vrijheid,Netherlands,Party for Freedom,PVV,1,0,1,0,0,0,1,0
Socialistiese Partij,Netherlands,Socialist Party (Netherlands),SP,1,1,0,0,1,0,1,0
Staatkundig Gereformeerde Partij,Netherlands,Political Reform Party,SGP,0,0,0,0,0,0,1,0
Fremskrittspartiet,Norway,Progress Party (Norway),FrP,1,0,1,0,0,0,1,0
Kristelig Folkeparti,Norway,Christian Democratic Party,KrF,0,0,0,0,0,0,1,0
Kystpartiet,Norway,Coastal Party,Kp,1,1,0,0,0,0,1,0
Rød Valgallianse,Norway,Red Party,Rodt,0,1,0,0,1,0,1,0
Senterpartiet,Norway,Centre Party,SP,0,0,0,0,0,0,1,0
Sosialistisk Venstreparti,Norway,Socialist Left Party,SV,0,0,0,0,1,0,1,0
Koalicja Odnowy Rzeczypospolitej Wolnosc i Nadzieja,Poland,Coalition for the Renewal of the Republic â€“ Liberty and Hope,KORWiN,0,0,1,0,0,0,1,0
Koalicja Odnowy Rzeczypospolitej Wolnosc i Nadzieja KORWiN,Poland,Coalition for the Renewal of the Republic â€“ Liberty and Hope (KORWiN),ZRP,0,0,1,0,0,0,1,0
Kukiz'15,Poland,Kukiz '15,Kukiz '15,1,0,1,0,0,0,1,0
Lewica Razem,Poland,Left Together,LR,0,1,0,0,0,0,0,0
Liga Polskich Rodzin,Poland,League of Polish Families,LPR,1,0,1,0,0,0,1,0
Partia Razem,Poland,Together Party,Razem,0,0,0,0,1,0,0,0
Partia X,Poland,Party X,X,1,0,1,0,0,0,1,0
Polska Zjednoczona Partia Robotnicza,Poland,Polish United Workers' Party,PZPR,0,0,0,0,1,0,0,0
Polski Zwiazek Zachodni,Poland,Polish Western Union,PZZ,0,0,0,0,1,0,0,0
Prawo i Sprawiedliwosc,Poland,Law and Justice,PiS,1,0,1,0,0,0,1,0
Ruch Narodowy,Poland,National Movement,RN,0,0,1,0,0,0,1,0
Ruch Odbudowy Polski,Poland,Movement for the Reconstruction of Poland,ROP,0,0,1,0,0,0,1,0
Samoobrona Rzeczypospolitej Polskiej,Poland,Self-Defense of the Republic Poland,SRP,1,0,0,0,0,0,1,0
Unia Polityki Realnej | Kongres Nowej Prawicy,Poland,Real Politics Union | Congress of the New Right,UPR|KNP,0,0,1,0,0,0,1,0
Zjednoczenie Chrzescijansko-Narodowe,Poland,Christian National Union,ZChN,0,0,0,1,0,0,0,0
Bloco de Esquerda,Portugal,Left Bloc,BE,0,0,0,0,1,0,1,0
Chega!,Portugal,Enough!,CH,1,0,1,0,0,0,1,0
Coligação Democrático Unitária,Portugal,Unitary Democratic Coalition (PEV & PCP),CDU (PEV & PCP),0,0,0,0,1,0,1,0
Partido Comunista Português,Portugal,Portuguese Communist Party,PCP,0,0,0,0,1,0,1,0
Partidul Poporului – Dan Diaconescu,Romania,People's Party â€“ Dan Diaconescu,PPDD,1,0,0,0,0,0,0,0
Partidul România Mare,Romania,Greater Romania Party,PRM,1,0,1,0,0,0,1,0
Partidul România Unita,Romania,United Romania Party,PRU,1,0,1,0,0,0,1,0
Partidul Socialist al Muncii,Romania,Socialist Party of Labour,PSM,0,0,0,0,1,0,0,0
Partidul Socialist Democrat Român,Romania,Romanian Socialist Democratic Party,PSoDR,0,0,0,0,1,0,0,0
Partidul Unitatii Nationale a Romanilor,Romania,Romanian National Unity Party,PUNR,1,0,1,0,0,0,0,1
Aliancia nového obcana,Slovakia,Alliance of the New Citizen,ANO,1,0,0,0,0,0,0,0
Komunistická strana Slovenska,Slovakia,Communist Party of Slovakia,KSS,0,0,0,0,1,0,1,0
Ludová strana Naše Slovensko,Slovakia,Kotleba - People's Party Our Slovakia,L'SNS,0,0,1,0,0,0,1,0
Obcianska konzervatívna strana,Slovakia,Civic Conservative Party,OKS,0,0,0,0,0,0,1,0
Obycajní ludia a nezávislé osobnosti,Slovakia,Ordinary People,OLaNO,1,0,0,0,0,0,0,0
Pravá Slovenská národná strana,Slovakia,Real Slovak National Party,PSNS,1,0,1,0,0,0,1,0
Sloboda a solidarita,Slovakia,Freedom and Solidarity,SaS,0,0,0,1,0,0,1,0
Slovenská národná strana,Slovakia,Slovak National Party,SNS,1,0,1,0,0,0,1,0
Sme Rodina – Boris Kollár,Slovakia,We are family,SR,1,0,1,0,0,0,1,0
Smer – sociálna demokracia,Slovakia,Direction - Social Democracy,Smer,1,0,0,0,0,0,0,0
Strana obcianskeho porozumenia,Slovakia,Party of Civic Understanding,SOP,1,0,0,0,0,0,0,0
Združenie robotníkov Slovenska,Slovakia,Association of Workers of Slovakia,ZRS,1,0,0,0,1,0,1,0
Levica,Slovenia,The Left,L,1,0,0,0,1,0,1,0
Lista Marjana Šarca,Slovenia,List of Marjan Sarec,LMS,1,0,0,0,0,0,0,0
Slovenska Demokratska Stranka,Slovenia,Slovenian Democratic Party,SDS,1,0,1,0,0,0,0,0
Slovenska nacionalna stranka,Slovenia,Slovenian National Party,SNS,1,0,1,1,0,0,1,0
Socialisticna stranka Slovenije,Slovenia,Socialist Party of Slovenia,SSS,0,0,0,0,1,0,0,0
Združena levica,Slovenia,United Left / The Left,ZdLe / L,1,0,0,0,1,0,1,0
Bloque Nacionalista Galego,Spain,Galician Nationalist Bloc,BNG,0,0,0,0,1,0,1,0
Chunta Aragonesista,Spain,Aragonese Council,CA,0,0,0,0,1,0,0,0
Compromís | A la valenciana,Spain,Compromise | A la valenciana,C|AV,0,0,0,0,1,0,1,0
En Comú Podem,Spain,In Common We Can,ECP,1,0,0,0,1,0,1,0
En Marea,Spain,In Tide,EM,1,0,0,0,1,0,1,0
Euskal Herria Bildu,Spain,Basque Country Unite,EHB,0,0,0,0,1,0,1,0
Grupo Común da Esquerda,Spain,Common Group of the Left,GCdE,0,0,0,0,1,0,1,0
Herri Batasuna,Spain,United People,HB,0,0,0,0,1,0,1,0
Partido Communista | Izquierda Unida,Spain,United Left,IU,0,0,0,0,1,0,1,0
Podemos,Spain,Podemos,Podemos,1,0,0,0,1,0,1,0
Vox,Spain,Voice,Vox,1,0,1,0,0,0,1,0
Ny Demokrati,Sweden,New Democracy,NyD,1,0,1,1,0,0,0,0
Sverigedemokraterna,Sweden,Sweden Democrats,SD,1,0,1,0,0,0,1,0
Vänsterpartiet (kommunisterna),Sweden,Left Party,V,0,0,0,0,1,0,1,0
Auto-Partei | Freiheitspartei der Schweiz,Switzerland,Automobile Party | Freedom Party of Switzerland,FPS,1,0,1,0,0,0,1,0
Eidgenössisch-Demokratische Union – Union Démocratique Fédérale,Switzerland,Federal Democratic Union of Switzerland,EDU-UDF,1,0,0,0,0,0,1,0
Lega dei Ticinesi,Switzerland,Ticino League,LdT,1,0,1,0,0,0,1,0
Mouvement Citoyens Genevois,Switzerland,Geneva Citizens' Movement,MCR,1,0,1,0,0,0,1,0
Nationale Aktion – Action Nationale | Schweizer Demokraten – Démocrates Suisses,Switzerland,National Action -- Swiss Democrats,NA|SD,0,0,1,0,0,0,1,0
Partei der Arbeit der Schweiz,Switzerland,Swiss Party of Labour,PdA,0,0,0,0,1,0,1,0
Partito socialista autonomo,Switzerland,Autonomous Socialist Party,PSA,0,0,0,0,1,0,0,0
Schweizerische Volkspartei – Union Démocratique du Centre,Switzerland,Swiss People's Party,SVP,1,0,1,0,0,0,1,0
solidaritéS,Switzerland,Solidarity,S,0,0,0,0,1,0,1,0
Conservatives,United Kingdom,Conservatives,Con,0,0,0,0,0,0,1,0
Democratic Unionist Party,United Kingdom,Democratic Unionist Party,DUP,0,1,0,0,0,0,1,0
Respect – The Unity Coalition,United Kingdom,Respect -- The Unity Coalition,R,1,0,0,0,1,0,1,0
Sinn Féin,United Kingdom,Sinn Fein,SF,1,1,0,0,1,0,1,1
United Kingdom Independence Party,United Kingdom,United Kingdom Independence Party,UKIP,1,0,1,0,0,0,1,0
